State/UT,(%) of Schools in which Teachers are Involved in non Teaching Activities,(%) of Schools in which Teachers are Disinterested in non Teaching Activities,(%) Schools in which Teachers are Consulted in Curriculum Design,% of Schools with Teachers Satisfied with Salaries ,Unnamed: 5
Andhra Pradesh,62.5,62.5,12.5,83.3,
Assam,75.0,75.0,33.3,75.0,
Bihar,88.0,68.0,44.0,80.0,
Chandigarh,33.3,33.33,0.0,66.6,
Haryana,92.8,85.71,78.5,14.3,
Himachal Pradesh,61.5,38.46,15.3,76.9,
Madhya Pradesh,55.5,50.0,33.3,72.2,
Rajasthan,42.1,21.05,10.5,73.6,
Tamil Nadu,66.7,46.67,53.3,80.0,
Uttar Pradesh,93.7,53.13,25.0,65.6,
West Bengal,100.0,35.0,10.0,90.0,
Delhi,,,,,
Meghalaya,,,,,
Manipur,,,,,
Tripura,,,,,
Lakshadweep,,,,,
Uttarakhand,,,,,
Karnataka,,,,,
Punjab,,,,,
Dadra and Nagar Haveli,,,,,
Gujarat,,,,,
Maharashtra,,,,,
Nagaland,,,,,
Jharkhand,,,,,
Arunachal Pradesh,,,,,
Mizoram,,,,,
Andaman and Nicobar Islands,,,,,
Puducherry,,,,,
Orissa,,,,,
Goa,,,,,
Chhattisgarh,,,,,
Sikkim,,,,,
Daman and Diu,,,,,
Jammu and Kashmir,,,,,
Kerala,,,,,
